"","lat","long"
"166",29.1800000000001,-80.9799999999999
"167",28.47213,-80.5355849999999
"168",28.0400000000001,-80.5299999999998
"169",26.8800000000001,-80.0565392849776
"170",26.205765,-80.0880149999999
"171",25.8167750000001,-80.1315599999999
"172",25.20616,-80.38103
"173",25.0800000000001,-80.6799999999999
"174",25.2012600000001,-81.17213
"175",25.64,-81.33
"176",25.87,-81.7099999999998
"177",26.7300000000001,-82.2399999999999
"178",27.4950400000001,-82.7051499999999
"179",27.88624,-82.85526
"180",28.5500000000002,-82.6499999999999
"181",29.1000000000001,-82.9299999999999
"182",29.9365600000001,-83.70959
"183",30.0900000000001,-84.0999999999999
"184",29.6361500000001,-85.10882
"185",29.6861200000001,-85.28784
"186",30.1526100000001,-85.7731
"187",30.4000000000001,-86.3999999999999
"188",30.27433,-87.5303599999999
